2025-08-30 13:09:40 | INFO | vectorstore | vectorstore: PG not configured; using in-memory store
2025-08-30 13:09:40 | INFO | uvicorn.error | Started server process [10896]
2025-08-30 13:09:40 | INFO | uvicorn.error | Waiting for application startup.
2025-08-30 13:09:42 | INFO | llm | LLM ready=True latency=1.83s
2025-08-30 13:09:42 | INFO | llm | Embeddings ready=True latency=0.07s
2025-08-30 13:09:42 | INFO | uvicorn.error | Startup OK | online_search=True | vector_store=memory
2025-08-30 13:09:42 | INFO | uvicorn.error | Application startup complete.
2025-08-30 13:09:57 | INFO | llm | LLM ready=True latency=1.93s
2025-08-30 13:09:57 | INFO | llm | Embeddings ready=True latency=0.08s
2025-08-30 13:09:57 | INFO | uvicorn.access | 127.0.0.1:57817 - "GET /api/health HTTP/1.1" 200
2025-08-30 13:10:07 | INFO | llm | LLM ready=True latency=1.84s
2025-08-30 13:10:07 | INFO | llm | Embeddings ready=True latency=0.08s
2025-08-30 13:10:07 | INFO | uvicorn.access | 127.0.0.1:57821 - "GET /api/health HTTP/1.1" 200
2025-08-30 13:10:10 | INFO | uvicorn.access | 127.0.0.1:57826 - "GET /api/companies HTTP/1.1" 200
2025-08-30 13:10:16 | INFO | llm | LLM ready=True latency=1.79s
2025-08-30 13:10:16 | INFO | llm | Embeddings ready=True latency=0.06s
2025-08-30 13:10:16 | INFO | uvicorn.access | 127.0.0.1:57828 - "GET /api/health HTTP/1.1" 200
2025-08-30 13:10:18 | INFO | uvicorn.access | 127.0.0.1:57832 - "GET /api/stream/research/c1 HTTP/1.1" 200
2025-08-30 13:10:18 | INFO | orchestrator | events:research:start company=stc (Saudi Telecom Company) id=c1
2025-08-30 13:10:18 | INFO | search | ddgs.text q='site:stc.com.sa customer experience' region=xa-en safe=moderate backend=auto timeout=20s proxy=False
2025-08-30 13:10:19 | INFO | primp | response: https://en.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=site%3Astc.com.sa%20customer%20experience 200
2025-08-30 13:10:19 | INFO | primp | response: https://www.bing.com/search?q=site%3Astc.com.sa+customer+experience&pq=site%3Astc.com.sa+customer+experience&cc=en 200
2025-08-30 13:10:21 | INFO | primp | response: https://yandex.com/search/site/?text=site%3Astc.com.sa+customer+experience&web=1&searchid=2245613 200
2025-08-30 13:10:22 | INFO | primp | response: https://search.brave.com/search?q=site%3Astc.com.sa+customer+experience&source=web 200
2025-08-30 13:10:22 | INFO | search | ddgs.text -> 5 hits
2025-08-30 13:10:23 | INFO | fetch | fetched https://www.stc.com.sa/content/stc/sa/en/personal/support/contact-us/customer-care.html chars=16474
2025-08-30 13:10:23 | INFO | fetch | fetched https://careers.stc.com.sa/job/Marketing,-Comms,-and-CX-Director/856636123/ chars=2752
2025-08-30 13:10:24 | INFO | fetch | fetched https://www.stc.com.sa/content/stc/sa/en/personal/loyalty.html chars=15507
2025-08-30 13:10:25 | INFO | fetch | fetched https://www.stc.com.sa/content/stc/sa/en/personal/mobile/other-services/budget-control.html chars=15615
2025-08-30 13:10:25 | WARNING | fetch | fetch failed for https://www.stc.com.sa/content/stc/sa/en/wholesale/voice-and-roaming/roaming/e-sim.html: 500 Server Error: Internal Server Error for url: https://www.stc.com.sa/content/stc/sa/en/wholesale/voice-and-roaming/roaming/e-sim.html
2025-08-30 13:10:25 | INFO | search | ddgs.text q='stc (Saudi Telecom Company) reviews NPS' region=xa-en safe=moderate backend=auto timeout=20s proxy=False
2025-08-30 13:10:25 | INFO | primp | response: https://en.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=stc%20%28Saudi%20Telecom%20Company%29%20reviews%20NPS 200
2025-08-30 13:10:26 | INFO | primp | response: https://www.mojeek.com/search?q=stc+%28Saudi+Telecom+Company%29+reviews+NPS 200
2025-08-30 13:10:26 | INFO | search | ddgs.text -> 5 hits
2025-08-30 13:10:27 | INFO | fetch | fetched https://brandfinance.com/press-releases/telecom-brand-values-grow-globally-with-maturity-of-new-technologies-improving-customer-perception chars=17512
2025-08-30 13:10:27 | WARNING | fetch | fetch failed for https://clutch.co/profile/foresiet: 403 Client Error: Forbidden for url: https://clutch.co/profile/foresiet
2025-08-30 13:10:30 | INFO | fetch | fetched https://www.tmforum.org/about/awards-and-recognition/catalyst-team-awards/ chars=70986
2025-08-30 13:10:31 | INFO | fetch | fetched https://brandfinance.com/press-releases/middle-east-brand-values-grow-quickly-aramco-remains-on-top chars=14235
2025-08-30 13:10:31 | WARNING | fetch | fetch failed for https://teknologi.bisnis.com/read/20240626/84/1777234/telkomsel-borong-tiga-penghargaan-di-tm-forums-innovation-awards-2024: 403 Client Error: Forbidden for url: https://teknologi.bisnis.com/read/20240626/84/1777234/telkomsel-borong-tiga-penghargaan-di-tm-forums-innovation-awards-2024
2025-08-30 13:10:31 | INFO | search | ddgs.text q='stc (Saudi Telecom Company) support channels' region=xa-en safe=moderate backend=auto timeout=20s proxy=False
2025-08-30 13:10:32 | INFO | primp | response: https://en.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=stc%20%28Saudi%20Telecom%20Company%29%20support%20channels 200
2025-08-30 13:10:32 | INFO | primp | response: https://www.mojeek.com/search?q=stc+%28Saudi+Telecom+Company%29+support+channels 200
2025-08-30 13:10:32 | INFO | search | ddgs.text -> 5 hits
2025-08-30 13:10:33 | INFO | fetch | fetched https://en.wikipedia.org/wiki/Saudi_Telecom_Company chars=14305
2025-08-30 13:10:34 | INFO | fetch | fetched https://insidetelecom.com/saudi-telecommunication-company-stc-when-an-oligopoly-replaces-a-fading-monopoly/ chars=13681
2025-08-30 13:10:34 | WARNING | fetch | fetch failed for https://omdia.tech.informa.com/om033163/saudi-telecom-company-stc-company-update--2023: 403 Client Error: Forbidden for url: https://omdia.tech.informa.com/om033163/saudi-telecom-company-stc-company-update--2023
2025-08-30 13:10:34 | WARNING | fetch | fetch failed for https://ace-myhomework.com/knowledgebase/saudi-telecom-company: 403 Client Error: Forbidden for url: https://ace-myhomework.com/knowledgebase/saudi-telecom-company
2025-08-30 13:10:36 | INFO | fetch | fetched https://dataxis.com/product/actor-profile/stc-television-and-telecom/ chars=51855
2025-08-30 13:10:56 | INFO | llm | embed batch=60 latency=20.07s
2025-08-30 13:10:56 | INFO | llm | embed batch=1 latency=0.09s
2025-08-30 13:10:56 | INFO | orchestrator | enrichment: synthesize stc (Saudi Telecom Company) hits=5
2025-08-30 13:10:56 | INFO | orchestrator | enrichment built chars=3570
2025-08-30 13:11:15 | INFO | llm | LLM stream total_chars=705 latency=18.61s
2025-08-30 13:11:15 | INFO | orchestrator | events:research:done company=stc (Saudi Telecom Company) hits=5
2025-08-30 13:11:50 | INFO | llm | LLM ready=True latency=2.14s
2025-08-30 13:11:50 | INFO | llm | Embeddings ready=True latency=0.09s
2025-08-30 13:11:50 | INFO | uvicorn.access | 127.0.0.1:57928 - "GET /api/health HTTP/1.1" 200
2025-08-30 13:11:52 | INFO | uvicorn.access | 127.0.0.1:57935 - "GET /api/stream/outreach/c1/preview?bypass=true HTTP/1.1" 200
2025-08-30 13:11:52 | INFO | llm | embed batch=1 latency=0.11s
2025-08-30 13:12:03 | INFO | llm | LLM stream total_chars=833 latency=11.10s
2025-08-30 13:12:25 | INFO | llm | LLM ready=True latency=2.19s
2025-08-30 13:12:25 | INFO | llm | Embeddings ready=True latency=0.06s
2025-08-30 13:12:25 | INFO | uvicorn.access | 127.0.0.1:57942 - "GET /api/health HTTP/1.1" 200
2025-08-30 13:12:27 | INFO | uvicorn.access | 127.0.0.1:57946 - "GET /api/stream/logs HTTP/1.1" 200
2025-08-30 13:12:53 | INFO | llm | LLM ready=True latency=1.96s
2025-08-30 13:12:53 | INFO | llm | Embeddings ready=True latency=0.08s
2025-08-30 13:12:53 | INFO | uvicorn.access | 127.0.0.1:57950 - "GET /api/health HTTP/1.1" 200
2025-08-30 13:12:55 | INFO | llm | LLM ready=True latency=3.04s
2025-08-30 13:12:55 | INFO | llm | Embeddings ready=True latency=0.08s
2025-08-30 13:12:55 | INFO | uvicorn.access | 127.0.0.1:57952 - "GET /api/health HTTP/1.1" 200
2025-08-30 13:12:57 | INFO | uvicorn.access | 127.0.0.1:57958 - "GET /api/stream/research/c2 HTTP/1.1" 200
2025-08-30 13:12:57 | INFO | orchestrator | events:research:start company=First Abu Dhabi Bank (FAB) id=c2
